id	label	manifestUrl	projectId	size	progress	attribution	thumbnail
73BDF9AE5837B4AB3970946EA8B15BE2	目八譜. 第８巻	https://www.dl.ndl.go.jp/api/iiif/1287303/manifest.json	zukan	79	0	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/1287303/T0000001/full/full/0/default.jpg
77DAC99A115869D4D72C528D794545A2	目八譜. 第１２巻	https://www.dl.ndl.go.jp/api/iiif/1287307/manifest.json	zukan	51	0	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/1287307/T0000001/full/full/0/default.jpg
79010E64C4BD073E6DB8E640FE77F326	草木性譜 3巻. [2]	https://www.dl.ndl.go.jp/api/iiif/2555815/manifest.json	zukan	38	38	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/2555815/T0000001/full/full/0/default.jpg
7C853DA82E22EA704ED1DE87B2358CC1	本草図譜. 巻31-33	https://www.dl.ndl.go.jp/api/iiif/2550784/manifest.json	zukan	73	73	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/2550784/T0000001/full/full/0/default.jpg
7D17773086565B5282638D96882A25B3	梅園禽譜	https://www.dl.ndl.go.jp/api/iiif/1286915/manifest.json	zukan	111	0	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/1286915/T0000001/full/full/0/default.jpg
7F7518A5F216168CBA9B01397C95937B	錦繍枕 5巻. [4]	https://www.dl.ndl.go.jp/api/iiif/2557568/manifest.json	zukan	41	35	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/2557568/T0000001/full/full/0/default.jpg
8034E1CACF5541C23F897064AF9432F9	水族四帖. 夏	https://www.dl.ndl.go.jp/api/iiif/1287212/manifest.json	zukan	57	0	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/1287212/T0000001/full/full/0/default.jpg
812526D7D5ED5D2EDA017FA569873578	艸花繪前集. [2]	https://www.dl.ndl.go.jp/api/iiif/2586994/manifest.json	zukan	22	22	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/2586994/T0000001/full/full/0/default.jpg
889C3119331F3371388D8573C995F0FE	本草図譜. 巻16-18	https://www.dl.ndl.go.jp/api/iiif/2550779/manifest.json	zukan	90	8	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/2550779/T0000001/full/full/0/default.jpg
88BF2936E9E5ECA3C09585C9A53DE62E	梅園魚品図正. 巻２	https://www.dl.ndl.go.jp/api/iiif/1287113/manifest.json	zukan	57	0	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/1287113/T0000001/full/full/0/default.jpg
8E551C6B8D5F30615F0A96E8485F08F1	本草図譜. 巻61-63	https://www.dl.ndl.go.jp/api/iiif/2550794/manifest.json	zukan	75	11	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/2550794/T0000001/full/full/0/default.jpg
